"time","sewer_and_water","power","roads_and_bridges","medical","buildings","shake_intensity","location","date","severity"
"2020/4/8 17:50",10,6,10,3,8,1,1,2020-04-08,4.84
"2020/4/9 13:50",2,10,0,8,4,0,1,2020-04-09,2.88
"2020/4/9 0:20",7,10,10,9,10,0,1,2020-04-09,5.52
"2020/4/8 17:25",1,1,2,10,7,1,1,2020-04-08,2.92
"2020/4/8 2:50",9,7,1,6,9,3,1,2020-04-08,5.04
"2020/4/9 5:30",2,7,3,10,10,2,1,2020-04-09,4.64
"2020/4/8 4:30",2,10,1,2,8,4,1,2020-04-08,4.36
"2020/4/10 11:00",5,0,4,10,8,0,1,2020-04-10,3.24
"2020/4/10 19:40",10,7,7,1,3,0,1,2020-04-10,3.36
"2020/4/7 22:00",6,6,5,7,2,3,1,2020-04-07,4.32
"2020/4/9 23:00",4,0,6,7,5,0,1,2020-04-09,2.64
"2020/4/8 15:30",2,4,9,6,6,1,1,2020-04-08,3.64
"2020/4/8 20:10",2,2,2,7,4,1,1,2020-04-08,2.44
"2020/4/10 15:05",1,7,5,10,5,1,1,2020-04-10,3.76
"2020/4/6 8:30",0,5,10,5,7,1,1,2020-04-06,3.64
"2020/4/6 10:25",9,2,2,9,10,1,1,2020-04-06,4.24
"2020/4/6 2:25",0,8,2,8,10,3,1,2020-04-06,4.56
"2020/4/10 3:55",2,10,1,8,9,4,1,2020-04-10,5.2
"2020/4/9 21:25",8,5,3,1,0,3,1,2020-04-09,3.24
"2020/4/10 8:25",3,6,8,10,3,2,1,2020-04-10,4.4
"2020/4/10 21:25",10,6,3,4,5,3,1,2020-04-10,4.56
"2020/4/9 23:55",0,4,0,6,5,2,1,2020-04-09,2.6
"2020/4/8 7:25",10,1,7,4,7,0,1,2020-04-08,3.48
"2020/4/9 21:40",10,5,3,2,8,1,1,2020-04-09,3.76
"2020/4/6 14:10",8,10,8,7,0,4,1,2020-04-06,5.56
"2020/4/9 4:45",8,4,2,8,10,1,1,2020-04-09,4.24
"2020/4/6 17:10",1,5,4,5,10,1,1,2020-04-06,3.4
"2020/4/10 17:20",0,5,3,7,2,3,1,2020-04-10,3.24
"2020/4/8 14:35",5,6,1,9,6,0,1,2020-04-08,3.24
"2020/4/8 1:45",8,3,6,9,5,0,1,2020-04-08,3.72
"2020/4/7 7:45",2,8,10,6,1,3,1,2020-04-07,4.44
"2020/4/9 20:55",3,1,10,9,10,0,1,2020-04-09,3.96
"2020/4/8 6:45",5,4,5,9,5,1,1,2020-04-08,3.76
"2020/4/8 20:15",10,2,10,3,1,0,1,2020-04-08,3.12
"2020/4/6 2:15",3,9,8,9,9,2,1,2020-04-06,5.36
"2020/4/9 2:05",8,7,10,10,2,2,1,2020-04-09,5.24
"2020/4/9 1:25",6,4,4,3,3,1,1,2020-04-09,2.8
"2020/4/9 2:00",4,1,3,10,0,1,1,2020-04-09,2.56
"2020/4/10 17:15",6,8,6,7,3,3,1,2020-04-10,4.8
"2020/4/9 9:50",3,2,5,2,0,1,1,2020-04-09,1.84
"2020/4/7 19:10",6,3,3,8,1,2,1,2020-04-07,3.32
"2020/4/8 4:25",2,3,7,1,10,0,1,2020-04-08,2.76
"2020/4/9 11:45",6,10,8,3,2,4,1,2020-04-09,5.08
"2020/4/6 7:15",5,4,8,2,2,1,1,2020-04-06,2.92
"2020/4/9 8:00",10,1,10,1,3,0,1,2020-04-09,3
"2020/4/9 8:30",5,10,3,7,4,4,1,2020-04-09,5.08
"2020/4/7 1:15",9,6,7,10,10,1,1,2020-04-07,5.44
"2020/4/6 15:30",4,2,8,10,5,0,1,2020-04-06,3.48
"2020/4/7 13:50",6,5,5,8,8,1,1,2020-04-07,4.24
"2020/4/7 19:40",5,4,7,10,5,1,1,2020-04-07,4.12
"2020/4/8 20:25",10,10,2,10,1,5,1,2020-04-08,5.96
"2020/4/8 4:40",1,10,7,7,6,3,1,2020-04-08,4.92
"2020/4/10 22:35",3,9,8,5,1,1,1,2020-04-10,3.52
"2020/4/6 12:15",3,1,0,7,9,1,1,2020-04-06,2.8
"2020/4/7 1:05",10,5,7,10,6,1,1,2020-04-07,4.96
"2020/4/6 19:20",8,9,4,7,1,4,1,2020-04-06,5.08
"2020/4/9 6:20",9,4,8,1,5,1,1,2020-04-09,3.64
"2020/4/7 6:25",5,5,4,5,6,2,1,2020-04-07,3.8
"2020/4/8 7:55",5,7,4,6,2,3,1,2020-04-08,4.08
"2020/4/7 5:20",6,4,10,10,2,1,1,2020-04-07,4.24
"2020/4/6 19:05",0,4,0,5,10,0,1,2020-04-06,2.28
"2020/4/6 13:15",9,2,4,8,9,0,1,2020-04-06,3.84
"2020/4/9 6:45",7,10,10,10,2,3,1,2020-04-09,5.88
"2020/4/6 16:35",5,2,8,8,8,0,1,2020-04-06,3.72
"2020/4/6 23:35",1,1,0,1,6,1,1,2020-04-06,1.48
"2020/4/7 20:15",5,3,0,5,3,0,1,2020-04-07,1.92
"2020/4/10 2:30",6,0,4,2,4,0,1,2020-04-10,1.92
"2020/4/6 11:40",10,10,7,9,10,3,1,2020-04-06,6.72
"2020/4/10 4:35",10,1,3,5,1,1,1,2020-04-10,2.8
"2020/4/6 11:30",10,9,7,1,6,1,1,2020-04-06,4.36
"2020/4/10 21:10",6,1,7,8,6,0,1,2020-04-10,3.36
"2020/4/8 8:15",8,6,2,1,8,0,1,2020-04-08,3
"2020/4/10 21:15",7,9,10,10,8,2,1,2020-04-10,6.08
"2020/4/9 0:35",5,8,2,7,8,3,1,2020-04-09,4.8
"2020/4/9 16:45",10,6,1,10,5,3,1,2020-04-09,5.04
"2020/4/6 4:40",10,3,7,8,2,1,1,2020-04-06,4
"2020/4/7 9:55",3,0,10,5,2,0,1,2020-04-07,2.4
"2020/4/6 14:25",10,7,0,0,5,4,1,2020-04-06,4.24
