"location","time_interval","sewer_and_water","power","roads_and_bridges","medical","buildings","shake_intensity"
1,"2020/4/6 00:00",2,12.5,0,18,12.5,0
1,"2020/4/6 01:00",7,26.3333333333333,5.33333333333333,4.33333333333333,9,1
1,"2020/4/6 02:00",9.80952380952381,21.9047619047619,13.5714285714286,4.90476190476191,10.9047619047619,NA
1,"2020/4/6 03:00",17.3333333333333,22.3333333333333,28,13,9,NA
1,"2020/4/6 04:00",24.5,12.5,8,12.5,8,NA
1,"2020/4/6 05:00",10,10,0,7,5,0
1,"2020/4/6 06:00",8.33333333333333,15,18.25,20.25,19.5833333333333,0.5
1,"2020/4/6 07:00",1.33333333333333,4.66666666666667,14.25,11.6666666666667,15.5833333333333,NA
1,"2020/4/6 08:00",9.33333333333333,10.3333333333333,3,7,26.3333333333333,NA
1,"2020/4/6 09:00",5.33333333333333,3,4.33333333333333,20.3333333333333,5.33333333333333,NA
1,"2020/4/6 10:00",22.3333333333333,22.3333333333333,13,16.3333333333333,26.3333333333333,NA
1,"2020/4/6 11:00",20.25,7,6,21.6666666666667,18.6666666666667,0.5
1,"2020/4/6 12:00",7,14.3333333333333,22.3333333333333,9,27,NA
1,"2020/4/6 13:00",9,2,4,8,9,NA
1,"2020/4/6 14:00",21.3571428571429,13.5535714285714,13.3571428571429,14.7857142857143,4.83928571428571,0.333333333333333
1,"2020/4/6 15:00",10.5,12.2142857142857,14.2678571428571,9.83928571428571,12.8392857142857,0
1,"2020/4/6 16:00",3,5.75,13.1102941176471,8.61764705882353,5.375,0.171428571428571
1,"2020/4/6 17:00",13.0666666666667,10.8444444444444,6.1,10.1777777777778,21.4333333333333,0.266666666666667
1,"2020/4/6 18:00",0.5,0,0.5,0,0,0
1,"2020/4/6 19:00",17.2,17.4666666666667,10.7,9.5,12.6666666666667,0
1,"2020/4/6 20:00",40.5,4.5,50,24.5,50,1
1,"2020/4/6 21:00",0,24.5,4.5,0.5,18,0
